I0,I1,I2,I3,I4,I5
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,85.327637,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.031250,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2036.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.015625,2933.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,5864.000000,23.558933
0.000000,0.000000,42.663818,2032.000000,2933.000000,23.558933
0.000000,0.000000,42.663818,2032.000000,2934.000000,23.558933
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.031250,11.779467
0.000000,0.000000,42.663818,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2033.000000,5864.000000,11.779467
0.000000,0.000000,42.663818,2033.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2933.031250,11.779467
0.000000,0.000000,42.663818,2032.000000,2934.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,85.327637,2031.000000,2931.000000,11.779467
0.000000,0.000000,42.663818,-2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2036.000000,2934.000000,23.558933
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,-11.779467
0.000000,0.000000,85.327637,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2934.000000,11.779467
0.000000,0.000000,42.663818,-2031.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,-42.663818,2032.000000,2934.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2934.000000,11.779467
0.000000,0.000000,42.663818,2031.015625,2931.000000,11.810717
0.000000,0.000000,42.663818,2032.000000,2940.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,2036.000000,2933.000000,11.779467
0.000000,0.000000,42.663818,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.663818,-2032.000000,2933.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2033.000000,2934.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2031.000000,2934.000000,11.779467
0.000000,0.000000,42.709137,2032.015625,2932.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2933.000000,11.779467
0.000000,0.000000,42.709137,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2930.000000,11.779467
0.000000,0.000000,42.709625,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2933.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2031.000000,2933.000000,11.779467
0.000000,0.000000,42.709137,2031.000000,5864.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,85.418274,2032.000000,2933.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2933.000000,-11.779467
0.000000,0.000000,42.709137,2032.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2031.000000,2932.000000,11.779467
0.000000,0.000000,42.709137,2032.000000,2931.000000,11.810717
